id,area,ascensor,balcon,banos,banoservicio,cuartoservicio,estudio,habitaciones,halldealcobas,piscina,remodelado,saloncomunal,terraza,zonalavanderia,valorventa,latitud,longitud,1.0,2.0,3.0,4.0,5.0,6.0
1142910,256.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,360000000.0,4.591944,-74.05444399999999,0,0,1,0,0,0
921680,172.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,470000000.0,4.5767101,-74.09120300000001,0,0,1,0,0,0
1161267,144.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,108000000.0,4.5542786808999995,-74.0835573495,0,1,0,0,0,0
1205344,132.25,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,149900000.0,4.545,-74.093,0,1,0,0,0,0
1161737,134.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,140000000.0,4.550036799999999,-74.0994448,1,0,0,0,0,0
1084115,30.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,92000000.0,4.535608900000001,-74.0855438,0,0,1,0,0,0
1136612,135.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,450000000.0,4.571952099999999,-74.10123859999999,0,0,1,0,0,0
1205158,103.6,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,430000000.0,4.5721411,-74.10003259999999,0,0,1,0,0,0
1136639,168.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,480000000.0,4.572975700000001,-74.09964709999998,0,0,1,0,0,0
1063627,146.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,480000000.0,4.5956079,-74.1080448,0,0,1,0,0,0
1136655,133.2,0.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,320000000.0,4.5823563,-74.1099653,0,0,1,0,0,0
958495,211.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,380000000.0,4.5791814326999996,-74.13859210470001,0,1,0,0,0,0
1268676,144.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,470000000.0,4.5903704,-74.1263744,0,0,1,0,0,0
1205194,40.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,120000000.0,4.5866313,-74.1372482,0,1,0,0,0,0
1062355,106.18,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,370000000.0,4.5889999999999995,-74.16,0,0,1,0,0,0
1062414,108.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,190000000.0,4.593,-74.173,0,1,0,0,0,0
958540,71.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,230000000.0,4.569843,-74.1438092,0,1,0,0,0,0
1141447,60.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,170000000.0,4.5114929122000005,-74.11774016449999,0,1,0,0,0,0
991257,136.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,198000000.0,4.5039375,-74.12032559999999,0,0,1,0,0,0
960907,285.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1600000000.0,4.593746,-74.0766402,0,0,0,0,0,1
987634,211.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,316500000.0,4.5903465,-74.0853271,0,0,1,0,0,0
1142299,191.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,470000000.0,4.620876,-74.1119588,0,0,1,0,0,0
888531,250.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,560000000.0,4.602504050199999,-74.1121594782,0,0,1,0,0,0
1136632,208.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,495000000.0,4.5972109,-74.121909,0,0,1,0,0,0
983906,170.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,450000000.0,4.604861,-74.1202223,0,0,1,0,0,0
1161674,151.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,320000000.0,4.5959782,-74.1164078,0,0,1,0,0,0
1204212,124.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,580000000.0,4.6122087,-74.12775400000001,0,0,1,0,0,0
1204253,248.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,550000000.0,4.6122087,-74.12775400000001,0,0,1,0,0,0
1142324,160.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,580000000.0,4.613628599999999,-74.1261982,0,0,0,0,1,0
1161676,238.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,4.6128324,-74.1431188,0,0,1,0,0,0
1204276,97.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,264000000.0,4.617956200000001,-74.1579186,0,0,1,0,0,0
1205032,200.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,390000000.0,4.6197154861000005,-74.1473937035,0,0,1,0,0,0
1143149,72.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,240000000.0,4.6217099,-74.1526223,0,0,1,0,0,0
1143156,108.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,210000000.0,4.6234583,-74.17463959999999,0,0,1,0,0,0
1170526,108.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,210000000.0,4.6258851,-74.1717041,0,1,0,0,0,0
1204233,270.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,579000000.0,4.6338140999999995,-74.1640067,0,1,0,0,0,0
958491,480.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,799900000.0,4.6121654957,-74.1628861427,0,0,1,0,0,0
1266061,223.2,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000000.0,4.628296,-74.1898743,0,1,0,0,0,0
1204833,72.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,90000000.0,4.615953,-74.187578,0,1,0,0,0,0
907849,144.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,255990000.0,4.6275643752999995,-74.1959892813,0,1,0,0,0,0
907796,108.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,174900000.0,4.623371400000001,-74.1972149,0,1,0,0,0,0
907691,90.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,132000000.0,4.623371499999999,-74.1972146,0,1,0,0,0,0
1064278,170.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,199990000.0,4.6219659902,-74.1892303313,0,1,0,0,0,0
1204236,63.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,250000000.0,4.6075519,-74.1878487,0,1,0,0,0,0
1173963,65.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,230000000.0,4.6080000000000005,-74.173,0,0,1,0,0,0
1100718,72.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,230000000.0,4.617041339,-74.1744947433,0,1,0,0,0,0
1062427,144.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,174900000.0,4.6320893,-74.1866287,1,0,0,0,0,0
1204353,72.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,175000000.0,4.624089,-74.1800975,0,1,0,0,0,0
1204193,58.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,118000000.0,4.6367400984,-74.20054435729999,0,1,0,0,0,0
1168902,200.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,800000000.0,4.667,-74.08,0,0,0,1,0,0
